"Crude death rate (Maori and total population) (Annual-Dec)",""
"","Total Population"
1872,11.39
1873,12.67
1874,13.05
1875,15.92
1876,12.66
1877,11.60
1878,11.04
1879,12.46
1880,11.46
1881,11.14
1882,11.19
1883,11.45
1884,10.39
1885,10.67
1886,10.54
1887,10.29
1888,9.43
1889,9.44
1890,9.66
1891,10.35
1892,10.06
1893,10.23
1894,10.19
1895,9.91
1896,9.11
1897,9.14
1898,9.84
1899,10.24
1900,9.44
1901,9.81
1902,10.50
1903,10.40
1904,9.57
1905,9.27
1906,9.31
1907,10.95
1908,9.57
1909,9.22
1910,9.71
1911,9.40
1912,8.87
1913,9.47
1914,9.31
1915,9.06
1916,9.64
1917,9.58
1918,14.84
1919,9.46
1920,10.15
1921,9.00
1922,9.10
1923,9.21
1924,8.53
1925,8.56
1926,8.85
1927,8.76
1928,8.83
1929,8.97
1930,8.80
1931,8.63
1932,8.43
1933,8.35
1934,8.90
1935,8.75
1936,9.31
1937,9.57
1938,10.50
1939,9.78
1940,9.70
1941,10.45
1942,11.05
1943,10.47
1944,10.30
1945,10.44
1946,10.07
1947,9.70
1948,9.42
1949,9.39
1950,9.47
1951,9.67
1952,9.47
1953,8.96
1954,9.01
1955,8.99
1956,9.02
1957,9.34
1958,8.88
1959,9.05
1960,8.79
1961,8.98
1962,8.89
1963,8.84
1964,8.83
1965,8.72
1966,8.86
1967,8.43
1968,8.88
1969,8.69
1970,8.81
1971,8.49
1972,8.51
1973,8.50
1974,8.30
1975,8.10
1976,8.13
1977,8.26
1978,7.85
1979,8.08
1980,8.48
1981,7.97
1982,8.03
1983,8.07
1984,7.80
1985,8.40
1986,8.25
1987,8.30
1988,8.26
1989,8.12
1990,7.89
1991,7.55
1992,7.67
1993,7.58
1994,7.44
1995,7.57
1996,7.57
1997,7.26
1998,6.87
1999,7.33
2000,6.91
2001,7.16
2002,7.10
2003,6.95
2004,6.95
2005,6.54
2006,6.75
2007,6.75
2008,6.85
2009,6.73
2010,6.53
2011,6.86
2012,6.82
2013,6.65
2014,6.87
2015,6.85
2016,6.61
2017,6.92
2018,6.78
2019,6.87
2020,6.41
2021,6.83
2022,7.53
2023,7.24
"Table information:"
"Units:"
"/ 1000, Magnitude = Units"
""
"Footnotes:"
"Rates from 1991 onward are based on the resident population concept. Before 1991, rates are based on the de facto population concept. Vitals data (births, deaths and marriages) is based on date of registration (not date of occurrence)."
"From September 1995, birth and death registrations collected ethnicity based on self-identification, rather than degree-of-blood."
"Deaths per 1,000 mean estimated population. Figures on Maori mortality should be used with caution."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DMM005AA"
""
"Last updated:"
"19 February 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
