"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" ","60 Years and Over","Male",266900
" "," ","Female",327100
" ","65 Years and Over","Male",194900
" "," ","Female",252800
" ","75 Years and Over","Male",74200
" "," ","Female",122300
" ","80 Years and Over","Male",34800
" "," ","Female",68500
" ","85 Years and Over","Male",13500
" "," ","Female",31900
" ","90 Years and Over","Male",3350
" "," ","Female",10260
" ","95 Years and Over","Male",530
" "," ","Female",2130
" ","Median Age (Years)","Male",33.2
" "," ","Female",34.7
" ","Total All Ages","Male",1886000
" "," ","Female",1951300
2000,"0 Years","Male",29090
" "," ","Female",27620
" ","1 Years","Male",28560
" "," ","Female",26970
" ","2 Years","Male",29320
" "," ","Female",27730
" ","3 Years","Male",28940
" "," ","Female",27730
" ","4 Years","Male",29700
" "," ","Female",27710
" ","5 Years","Male",30120
" "," ","Female",28380
" ","6 Years","Male",30420
" "," ","Female",28590
" ","7 Years","Male",31000
" "," ","Female",29050
" ","8 Years","Male",31760
" "," ","Female",29610
" ","9 Years","Male",32160
" "," ","Female",30700
" ","10 Years","Male",31570
" "," ","Female",30340
" ","11 Years","Male",30610
" "," ","Female",29330
" ","12 Years","Male",30220
" "," ","Female",28740
" ","13 Years","Male",29190
" "," ","Female",27620
" ","14 Years","Male",28570
" "," ","Female",27370
" ","15 Years","Male",28240
" "," ","Female",26990
" ","16 Years","Male",27810
" "," ","Female",26840
" ","17 Years","Male",27850
" "," ","Female",26770
" ","18 Years","Male",27710
" "," ","Female",26760
" ","19 Years","Male",27800
" "," ","Female",27000
" ","20 Years","Male",27070
" "," ","Female",26570
" ","21 Years","Male",26100
" "," ","Female",26130
" ","22 Years","Male",25070
" "," ","Female",25120
" ","23 Years","Male",24960
" "," ","Female",25020
" ","24 Years","Male",24480
" "," ","Female",24590
" ","25 Years","Male",24670
" "," ","Female",25550
" ","26 Years","Male",25190
" "," ","Female",26570
" ","27 Years","Male",25760
" "," ","Female",27630
" ","28 Years","Male",27060
" "," ","Female",29080
" ","29 Years","Male",27660
" "," ","Female",30140
" ","30 Years","Male",27890
" "," ","Female",30150
" ","31 Years","Male",28150
" "," ","Female",30610
" ","32 Years","Male",27900
" "," ","Female",30370
" ","33 Years","Male",28140
" "," ","Female",30440
" ","34 Years","Male",28450
" "," ","Female",30190
" ","35 Years","Male",28970
" "," ","Female",30710
" ","36 Years","Male",30140
" "," ","Female",31820
" ","37 Years","Male",30840
" "," ","Female",32780
" ","38 Years","Male",31020
" "," ","Female",32790
" ","39 Years","Male",30460
" "," ","Female",32440
" ","40 Years","Male",29810
" "," ","Female",31200
" ","41 Years","Male",29240
" "," ","Female",30500
" ","42 Years","Male",28270
" "," ","Female",29400
" ","43 Years","Male",27930
" "," ","Female",28780
" ","44 Years","Male",27360
" "," ","Female",28270
" ","45 Years","Male",26450
" "," ","Female",27460
" ","46 Years","Male",25860
" "," ","Female",26590
" ","47 Years","Male",25130
" "," ","Female",25830
" ","48 Years","Male",25130
" "," ","Female",25340
" ","49 Years","Male",24860
" "," ","Female",24970
" ","50 Years","Male",24670
" "," ","Female",24930
" ","51 Years","Male",24560
" "," ","Female",24520
" ","52 Years","Male",24480
" "," ","Female",24660
" ","53 Years","Male",24240
" "," ","Female",24390
" ","54 Years","Male",21120
" "," ","Female",21240
" ","55 Years","Male",19610
" "," ","Female",19870
" ","56 Years","Male",18630
" "," ","Female",18610
" ","57 Years","Male",17240
" "," ","Female",17470
" ","58 Years","Male",18410
" "," ","Female",18730
" ","59 Years","Male",18310
" "," ","Female",18600
" ","60 Years","Male",17040
" "," ","Female",17260
" ","61 Years","Male",15480
" "," ","Female",16150
" ","62 Years","Male",14870
" "," ","Female",15300
" ","63 Years","Male",14200
" "," ","Female",14840
" ","64 Years","Male",13510
" "," ","Female",14240
" ","65 Years","Male",13280
" "," ","Female",13490
" ","66 Years","Male",12870
" "," ","Female",13330
" ","67 Years","Male",12630
" "," ","Female",13380
" ","68 Years","Male",12630
" "," ","Female",13210
" ","69 Years","Male",12820
" "," ","Female",13580
" ","70 Years","Male",12340
" "," ","Female",13240
" ","71 Years","Male",11800
" "," ","Female",12840
" ","72 Years","Male",11480
" "," ","Female",12530
" ","73 Years","Male",10890
" "," ","Female",12260
" ","74 Years","Male",10260
" "," ","Female",12060
" ","75 Years","Male",9600
" "," ","Female",11850
" ","76 Years","Male",8770
" "," ","Female",11210
" ","77 Years","Male",7980
" "," ","Female",10710
" ","78 Years","Male",7470
" "," ","Female",10590
" ","79 Years","Male",6820
" "," ","Female",10080
" ","80 Years","Male",5950
" "," ","Female",9370
" ","81 Years","Male",4740
" "," ","Female",7580
" ","82 Years","Male",4150
" "," ","Female",7290
" ","83 Years","Male",3900
" "," ","Female",7050
" ","84 Years","Male",3430
" "," ","Female",6410
" ","85 Years","Male",3030
" "," ","Female",5910
" ","86 Years","Male",2600
" "," ","Female",5190
" ","87 Years","Male",2070
" "," ","Female",4500
" ","88 Years","Male",1680
" "," ","Female",3870
" ","89 Years","Male",1310
" "," ","Female",3070
" ","90 Years","Male",980
" "," ","Female",2650
" ","91 Years","Male",720
" "," ","Female",2130
" ","92 Years","Male",560
" "," ","Female",1600
" ","93 Years","Male",420
" "," ","Female",1240
" ","94 Years","Male",290
" "," ","Female",990
" ","0-4 Years","Male",145600
" "," ","Female",137760
" ","5-9 Years","Male",155450
" "," ","Female",146330
" ","10-14 Years","Male",150160
" "," ","Female",143400
" ","15-19 Years","Male",139410
" "," ","Female",134360
" ","20-24 Years","Male",127680
" "," ","Female",127430
" ","25-29 Years","Male",130330
" "," ","Female",138960
" ","30-34 Years","Male",140530
" "," ","Female",151770
" ","35-39 Years","Male",151440
" "," ","Female",160530
" ","40-44 Years","Male",142610
" "," ","Female",148150
" ","45-49 Years","Male",127430
" "," ","Female",130190
" ","50-54 Years","Male",119070
" "," ","Female",119720
" ","55-59 Years","Male",92200
" "," ","Female",93280
" ","60-64 Years","Male",75100
" "," ","Female",77790
" ","65-69 Years","Male",64230
" "," ","Female",66990
" ","70-74 Years","Male",56770
" "," ","Female",62920
" ","75-79 Years","Male",40630
" "," ","Female",54450
" ","80-84 Years","Male",22160
" "," ","Female",37680
" ","85-89 Years","Male",10700
" "," ","Female",22530
" ","Under 15 Years","Male",451200
" "," ","Female",427500
" ","Under 16 Years","Male",479500
" "," ","Female",454500
" ","Under 18 Years","Male",535100
" "," ","Female",508100
" ","Under 20 Years","Male",590600
" "," ","Female",561800
" ","15-39 Years","Male",689400
" "," ","Female",713000
" ","15-49 Years","Male",959400
" "," ","Female",991400
" ","15-59 Years","Male",1170700
" "," ","Female",1204400
" ","40-64 Years","Male",556400
" "," ","Female",569100
" ","15-64 Years","Male",1245800
" "," ","Female",1282200
" ","15 Years and Over","Male",1443800
" "," ","Female",1537600
" ","16 Years and Over","Male",1415600
" "," ","Female",1510600
" ","18 Years and Over","Male",1359900
" "," ","Female",1457000
" ","20 Years and Over","Male",1304400
" "," ","Female",1403300
" ","90-94 Years","Male",2970
" "," ","Female",8600
" ","60 Years and Over","Male",273100
" "," ","Female",333200
" ","65 Years and Over","Male",198000
" "," ","Female",255500
" ","75 Years and Over","Male",77000
" "," ","Female",125500
" ","80 Years and Over","Male",36400
" "," ","Female",71100
" ","85 Years and Over","Male",14200
" "," ","Female",33400
" ","90 Years and Over","Male",3540
" "," ","Female",10880
" ","95 Years and Over","Male",570
" "," ","Female",2280
" ","Median Age (Years)","Male",33.5
" "," ","Female",35.1
" ","Total All Ages","Male",1895000
" "," ","Female",1965100
2001,"0 Years","Male",28550
" "," ","Female",27400
" ","1 Years","Male",28970
" "," ","Female",27510
" ","2 Years","Male",28450
" "," ","Female",26880
" ","3 Years","Male",29230
" "," ","Female",27680
" ","4 Years","Male",28900
" "," ","Female",27670
" ","5 Years","Male",29700
" "," ","Female",27680
" ","6 Years","Male",30080
" "," ","Female",28330
" ","7 Years","Male",30370
" "," ","Female",28550
" ","8 Years","Male",30980
" "," ","Female",29010
" ","9 Years","Male",31720
" "," ","Female",29580
" ","10 Years","Male",32130
" "," ","Female",30730
" ","11 Years","Male",31630
" "," ","Female",30390
" ","12 Years","Male",30610
" "," ","Female",29380
" ","13 Years","Male",30230
" "," ","Female",28830
" ","14 Years","Male",29310
" "," ","Female",27770
" ","15 Years","Male",28720
" "," ","Female",27510
" ","16 Years","Male",28440
" "," ","Female",27280
" ","17 Years","Male",28070
" "," ","Female",27210
" ","18 Years","Male",28340
" "," ","Female",27210
" ","19 Years","Male",28100
" "," ","Female",27150
" ","20 Years","Male",27790
" "," ","Female",27170
" ","21 Years","Male",26720
" "," ","Female",26440
" ","22 Years","Male",25520
" "," ","Female",25640
" ","23 Years","Male",24350
" "," ","Female",24520
" ","24 Years","Male",24130
" "," ","Female",24350
" ","25 Years","Male",23720
" "," ","Female",24120
" ","26 Years","Male",24060
" "," ","Female",25330
" ","27 Years","Male",24710
" "," ","Female",26530
" ","28 Years","Male",25570
" "," ","Female",27860
" ","29 Years","Male",27180
" "," ","Female",29430
" ","30 Years","Male",27770
" "," ","Female",30460
" ","31 Years","Male",27940
" "," ","Female",30300
" ","32 Years","Male",28060
" "," ","Female",30640
" ","33 Years","Male",27870
" "," ","Female",30380
" ","34 Years","Male",28170
" "," ","Female",30470
" ","35 Years","Male",28440
" "," ","Female",30250
" ","36 Years","Male",28920
" "," ","Female",30810
" ","37 Years","Male",30020
" "," ","Female",31840
" ","38 Years","Male",30720
" "," ","Female",32780
" ","39 Years","Male",30890
" "," ","Female",32760
" ","40 Years","Male",30360
" "," ","Female",32420
" ","41 Years","Male",29700
" "," ","Female",31170
" ","42 Years","Male",29140
" "," ","Female",30430
" ","43 Years","Male",28170
" "," ","Female",29350
" ","44 Years","Male",27830
" "," ","Female",28710
" ","45 Years","Male",27270
" "," ","Female",28180
" ","46 Years","Male",26310
" "," ","Female",27340
" ","47 Years","Male",25680
" "," ","Female",26450
" ","48 Years","Male",24970
" "," ","Female",25700
" ","49 Years","Male",24970
" "," ","Female",25220
" ","50 Years","Male",24660
" "," ","Female",24860
" ","51 Years","Male",24460
" "," ","Female",24810
" ","52 Years","Male",24340
" "," ","Female",24400
" ","53 Years","Male",24290
" "," ","Female",24560
" ","54 Years","Male",24080
" "," ","Female",24330
" ","55 Years","Male",20990
" "," ","Female",21190
" ","56 Years","Male",19500
" "," ","Female",19830
" ","57 Years","Male",18510
" "," ","Female",18580
" ","58 Years","Male",17120
" "," ","Female",17400
" ","59 Years","Male",18270
" "," ","Female",18670
" ","60 Years","Male",18180
" "," ","Female",18540
" ","61 Years","Male",16940
" "," ","Female",17210
" ","62 Years","Male",15330
" "," ","Female",16100
" ","63 Years","Male",14760
" "," ","Female",15240
" ","64 Years","Male",14070
" "," ","Female",14770
" ","65 Years","Male",13370
" "," ","Female",14190
" ","66 Years","Male",13130
" "," ","Female",13430
" ","67 Years","Male",12670
" "," ","Female",13220
" ","68 Years","Male",12390
" "," ","Female",13240
" ","69 Years","Male",12370
" "," ","Female",13050
" ","70 Years","Male",12490
" "," ","Female",13390
" ","71 Years","Male",11980
" "," ","Female",13060
" ","72 Years","Male",11410
" "," ","Female",12610
" ","73 Years","Male",11080
" "," ","Female",12280
" ","74 Years","Male",10470
" "," ","Female",11970
" ","75 Years","Male",9830
" "," ","Female",11730
" ","76 Years","Male",9170
" "," ","Female",11540
" ","77 Years","Male",8340
" "," ","Female",10890
" ","78 Years","Male",7510
" "," ","Female",10330
" ","79 Years","Male",6980
" "," ","Female",10160
" ","80 Years","Male",6360
" "," ","Female",9650
" ","81 Years","Male",5480
" "," ","Female",8910
" ","82 Years","Male",4340
" "," ","Female",7160
" ","83 Years","Male",3740
" "," ","Female",6820
" ","84 Years","Male",3510
" "," ","Female",6560
" ","85 Years","Male",3040
" "," ","Female",5900
" ","86 Years","Male",2650
" "," ","Female",5400
" ","87 Years","Male",2240
" "," ","Female",4670
" ","88 Years","Male",1750
" "," ","Female",4000
" ","89 Years","Male",1390
" "," ","Female",3410
" ","90 Years","Male",1060
" "," ","Female",2660
" ","91 Years","Male",780
" "," ","Female",2250
" ","92 Years","Male",550
" "," ","Female",1750
" ","93 Years","Male",420
" "," ","Female",1280
" ","94 Years","Male",300
" "," ","Female",990
" ","0-4 Years","Male",144090
" "," ","Female",137140
" ","5-9 Years","Male",152850
" "," ","Female",143150
" ","10-14 Years","Male",153900
" "," ","Female",147100
" ","15-19 Years","Male",141670
" "," ","Female",136360
" ","20-24 Years","Male",128510
" "," ","Female",128120
" ","25-29 Years","Male",125240
" "," ","Female",133270
" ","30-34 Years","Male",139810
" "," ","Female",152250
" ","35-39 Years","Male",148990
" "," ","Female",158450
" ","40-44 Years","Male",145200
" "," ","Female",152090
" ","45-49 Years","Male",129190
" "," ","Female",132890
" ","50-54 Years","Male",121830
" "," ","Female",122950
" ","55-59 Years","Male",94390
" "," ","Female",95660
" ","60-64 Years","Male",79280
" "," ","Female",81870
" ","65-69 Years","Male",63930
" "," ","Female",67140
" ","70-74 Years","Male",57430
" "," ","Female",63310
" ","75-79 Years","Male",41830
" "," ","Female",54650
" ","80-84 Years","Male",23430
" "," ","Female",39110
" ","85-89 Years","Male",11060
" "," ","Female",23380
" ","Under 15 Years","Male",450800
" "," ","Female",427400
" ","Under 16 Years","Male",479600
" "," ","Female",454900
" ","Under 18 Years","Male",536100
" "," ","Female",509400
" ","Under 20 Years","Male",592500
" "," ","Female",563700
" ","15-39 Years","Male",684200
" "," ","Female",708500
" ","15-49 Years","Male",958600
" "," ","Female",993400
" ","15-59 Years","Male",1174800
" "," ","Female",1212100
" ","40-64 Years","Male",569900
" "," ","Female",585500
" ","15-64 Years","Male",1254100
" "," ","Female",1293900
" ","15 Years and Over","Male",1455500
" "," ","Female",1552900
" ","16 Years and Over","Male",1426800
" "," ","Female",1525400
" ","18 Years and Over","Male",1370300
" "," ","Female",1470900
" ","20 Years and Over","Male",1313900
" "," ","Female",1416600
" ","90-94 Years","Male",3110
" "," ","Female",8930
" ","60 Years and Over","Male",280700
" "," ","Female",340900
" ","65 Years and Over","Male",201400
" "," ","Female",259000
" ","75 Years and Over","Male",80100
" "," ","Female",128500
" ","80 Years and Over","Male",38200
" "," ","Female",73900
" ","85 Years and Over","Male",14800
" "," ","Female",34800
" ","90 Years and Over","Male",3740
" "," ","Female",11410
" ","95 Years and Over","Male",630
" "," ","Female",2480
" ","Median Age (Years)","Male",33.8
" "," ","Female",35.4
" ","Total All Ages","Male",1906400
" "," ","Female",1980300
2002,"0 Years","Male",27980
" "," ","Female",27000
" ","1 Years","Male",28680
" "," ","Female",27550
" ","2 Years","Male",29180
" "," ","Female",27770
" ","3 Years","Male",28670
" "," ","Female",27130
" ","4 Years","Male",29380
" "," ","Female",27890
" ","5 Years","Male",29140
" "," ","Female",27910
" ","6 Years","Male",29990
" "," ","Female",28030
" ","7 Years","Male",30380
" "," ","Female",28680
" ","8 Years","Male",30660
" "," ","Female",28890
" ","9 Years","Male",31300
" "," ","Female",29350
" ","10 Years","Male",32050
" "," ","Female",29910
" ","11 Years","Male",32460
" "," ","Female",31040
" ","12 Years","Male",31900
" "," ","Female",30690
" ","13 Years","Male",30860
" "," ","Female",29650
" ","14 Years","Male",30450
" "," ","Female",29120
" ","15 Years","Male",29620
" "," ","Female",28170
" ","16 Years","Male",29110
" "," ","Female",28120
" ","17 Years","Male",29010
" "," ","Female",28020
" ","18 Years","Male",29020
" "," ","Female",28120
" ","19 Years","Male",29470
" "," ","Female",28210
" ","20 Years","Male",28860
" "," ","Female",27880
" ","21 Years","Male",27980
" "," ","Female",27470
" ","22 Years","Male",26720
" "," ","Female",26530
" ","23 Years","Male",25500
" "," ","Female",25710
" ","24 Years","Male",24290
" "," ","Female",24640
" ","25 Years","Male",24050
" "," ","Female",24550
" ","26 Years","Male",23790
" "," ","Female",24450
" ","27 Years","Male",24250
" "," ","Female",25800
" ","28 Years","Male",25060
" "," ","Female",27130
" ","29 Years","Male",26160
" "," ","Female",28600
" ","30 Years","Male",27870
" "," ","Female",30270
" ","31 Years","Male",28350
" "," ","Female",31140
" ","32 Years","Male",28300
" "," ","Female",30760
" ","33 Years","Male",28390
" "," ","Female",31070
" ","34 Years","Male",28250
" "," ","Female",30810
" ","35 Years","Male",28530
" "," ","Female",30890
" ","36 Years","Male",28810
" "," ","Female",30670
" ","37 Years","Male",29290
" "," ","Female",31220
" ","38 Years","Male",30330
" "," ","Female",32240
" ","39 Years","Male",31020
" "," ","Female",33210
" ","40 Years","Male",31180
" "," ","Female",33080
" ","41 Years","Male",30620
" "," ","Female",32700
" ","42 Years","Male",29950
" "," ","Female",31420
" ","43 Years","Male",29340
" "," ","Female",30630
" ","44 Years","Male",28330
" "," ","Female",29540
" ","45 Years","Male",28020
" "," ","Female",28910
" ","46 Years","Male",27450
" "," ","Female",28320
" ","47 Years","Male",26440
" "," ","Female",27420
" ","48 Years","Male",25760
" "," ","Female",26500
" ","49 Years","Male",25030
" "," ","Female",25730
" ","50 Years","Male",24980
" "," ","Female",25210
" ","51 Years","Male",24610
" "," ","Female",24870
" ","52 Years","Male",24420
" "," ","Female",24810
" ","53 Years","Male",24260
" "," ","Female",24360
" ","54 Years","Male",24230
" "," ","Female",24540
" ","55 Years","Male",24010
" "," ","Female",24330
" ","56 Years","Male",20930
" "," ","Female",21200
" ","57 Years","Male",19450
" "," ","Female",19810
" ","58 Years","Male",18440
" "," ","Female",18550
" ","59 Years","Male",17040
" "," ","Female",17380
" ","60 Years","Male",18190
" "," ","Female",18640
" ","61 Years","Male",18090
" "," ","Female",18490
" ","62 Years","Male",16830
" "," ","Female",17170
" ","63 Years","Male",15210
" "," ","Female",16050
" ","64 Years","Male",14640
" "," ","Female",15190
" ","65 Years","Male",13910
" "," ","Female",14710
" ","66 Years","Male",13200
" "," ","Female",14080
" ","67 Years","Male",12930
" "," ","Female",13300
" ","68 Years","Male",12450
" "," ","Female",13090
" ","69 Years","Male",12110
" "," ","Female",13080
" ","70 Years","Male",12090
" "," ","Female",12880
" ","71 Years","Male",12150
" "," ","Female",13180
" ","72 Years","Male",11620
" "," ","Female",12820
" ","73 Years","Male",11030
" "," ","Female",12330
" ","74 Years","Male",10690
" "," ","Female",12010
" ","75 Years","Male",10030
" "," ","Female",11670
" ","76 Years","Male",9400
" "," ","Female",11400
" ","77 Years","Male",8740
" "," ","Female",11170
" ","78 Years","Male",7870
" "," ","Female",10500
" ","79 Years","Male",7060
" "," ","Female",9910
" ","80 Years","Male",6500
" "," ","Female",9700
" ","81 Years","Male",5890
" "," ","Female",9180
" ","82 Years","Male",5030
" "," ","Female",8400
" ","83 Years","Male",3920
" "," ","Female",6720
" ","84 Years","Male",3330
" "," ","Female",6320
" ","85 Years","Male",3110
" "," ","Female",6000
" ","86 Years","Male",2640
" "," ","Female",5360
" ","87 Years","Male",2260
" "," ","Female",4830
" ","88 Years","Male",1880
" "," ","Female",4100
" ","89 Years","Male",1440
" "," ","Female",3510
" ","90 Years","Male",1110
" "," ","Female",2930
" ","91 Years","Male",830
" "," ","Female",2230
" ","92 Years","Male",600
" "," ","Female",1860
" ","93 Years","Male",420
" "," ","Female",1400
" ","94 Years","Male",310
" "," ","Female",1010
" ","0-4 Years","Male",143880
" "," ","Female",137340
" ","5-9 Years","Male",151470
" "," ","Female",142860
" ","10-14 Years","Male",157720
" "," ","Female",150430
" ","15-19 Years","Male",146230
" "," ","Female",140640
" ","20-24 Years","Male",133350
" "," ","Female",132230
" ","25-29 Years","Male",123310
" "," ","Female",130530
" ","30-34 Years","Male",141150
" "," ","Female",154050
" ","35-39 Years","Male",147960
" "," ","Female",158230
" ","40-44 Years","Male",149420
" "," ","Female",157370
" ","45-49 Years","Male",132710
" "," ","Female",136880
" ","50-54 Years","Male",122500
" "," ","Female",123800
" ","55-59 Years","Male",99880
" "," ","Female",101280
" ","60-64 Years","Male",82960
" "," ","Female",85530
" ","65-69 Years","Male",64610
" "," ","Female",68260
" ","70-74 Years","Male",57580
" "," ","Female",63230
" ","75-79 Years","Male",43100
" "," ","Female",54660
" ","80-84 Years","Male",24680
" "," ","Female",40320
" ","85-89 Years","Male",11330
" "," ","Female",23790
" ","Under 15 Years","Male",453100
" "," ","Female",430600
" ","Under 16 Years","Male",482700
" "," ","Female",458800
" ","Under 18 Years","Male",540800
" "," ","Female",514900
" ","Under 20 Years","Male",599300
" "," ","Female",571300
" ","15-39 Years","Male",692000
" "," ","Female",715700
" ","15-49 Years","Male",974100
" "," ","Female",1009900
" ","15-59 Years","Male",1196500
" "," ","Female",1235000
" ","40-64 Years","Male",587500
" "," ","Female",604900
" ","15-64 Years","Male",1279500
" "," ","Female",1320500
" ","15 Years and Over","Male",1484700
" "," ","Female",1582800
" ","16 Years and Over","Male",1455100
" "," ","Female",1554600
" ","18 Years and Over","Male",1397000
" "," ","Female",1498400
" ","20 Years and Over","Male",1338500
" "," ","Female",1442100
" ","90-94 Years","Male",3270
" "," ","Female",9430
" ","60 Years and Over","Male",288200
" "," ","Female",347800
" ","65 Years and Over","Male",205200
" "," ","Female",262200
" ","75 Years and Over","Male",83000
" "," ","Female",130700
" ","80 Years and Over","Male",39900
" "," ","Female",76100
" ","85 Years and Over","Male",15300
" "," ","Female",35800
" ","90 Years and Over","Male",3930
" "," ","Female",11960
" ","95 Years and Over","Male",660
" "," ","Female",2530
" ","Median Age (Years)","Male",34.0
" "," ","Female",35.6
" ","Total All Ages","Male",1937800
" "," ","Female",2013400
2003,"0 Years","Male",28670
" "," ","Female",27230
" ","1 Years","Male",28070
" "," ","Female",27050
" ","2 Years","Male",29010
" "," ","Female",27850
" ","3 Years","Male",29530
" "," ","Female",28140
" ","4 Years","Male",28990
" "," ","Female",27480
" ","5 Years","Male",29650
" "," ","Female",28180
" ","6 Years","Male",29500
" "," ","Female",28210
" ","7 Years","Male",30380
" "," ","Female",28460
" ","8 Years","Male",30820
" "," ","Female",29090
" ","9 Years","Male",31070
" "," ","Female",29290
" ","10 Years","Male",31720
" "," ","Female",29810
" ","11 Years","Male",32440
" "," ","Female",30350
" ","12 Years","Male",32800
" "," ","Female",31390
" ","13 Years","Male",32200
" "," ","Female",31030
" ","14 Years","Male",31190
" "," ","Female",29990
" ","15 Years","Male",30790
" "," ","Female",29530
" ","16 Years","Male",30030
" "," ","Female",28730
" ","17 Years","Male",29630
" "," ","Female",28840
" ","18 Years","Male",29760
" "," ","Female",28850
" ","19 Years","Male",29950
" "," ","Female",29070
" ","20 Years","Male",30290
" "," ","Female",29110
" ","21 Years","Male",29350
" "," ","Female",28410
" ","22 Years","Male",28160
" "," ","Female",27670
" ","23 Years","Male",26890
" "," ","Female",26750
" ","24 Years","Male",25650
" "," ","Female",26000
" ","25 Years","Male",24450
" "," ","Female",25000
" ","26 Years","Male",24280
" "," ","Female",25060
" ","27 Years","Male",24130
" "," ","Female",25130
" ","28 Years","Male",24790
" "," ","Female",26620
" ","29 Years","Male",25810
" "," ","Female",28060
" ","30 Years","Male",27030
" "," ","Female",29650
" ","31 Years","Male",28680
" "," ","Female",31240
" ","32 Years","Male",28970
" "," ","Female",31850
" ","33 Years","Male",28810
" "," ","Female",31420
" ","34 Years","Male",28950
" "," ","Female",31770
" ","35 Years","Male",28790
" "," ","Female",31440
" ","36 Years","Male",28970
" "," ","Female",31390
" ","37 Years","Male",29260
" "," ","Female",31170
" ","38 Years","Male",29770
" "," ","Female",31730
" ","39 Years","Male",30790
" "," ","Female",32750
" ","40 Years","Male",31450
" "," ","Female",33700
" ","41 Years","Male",31550
" "," ","Female",33480
" ","42 Years","Male",30990
" "," ","Female",33040
" ","43 Years","Male",30270
" "," ","Female",31700
" ","44 Years","Male",29620
" "," ","Female",30870
" ","45 Years","Male",28600
" "," ","Female",29780
" ","46 Years","Male",28300
" "," ","Female",29130
" ","47 Years","Male",27640
" "," ","Female",28480
" ","48 Years","Male",26580
" "," ","Female",27550
" ","49 Years","Male",25850
" "," ","Female",26590
" ","50 Years","Male",25120
" "," ","Female",25790
" ","51 Years","Male",25020
" "," ","Female",25250
" ","52 Years","Male",24570
" "," ","Female",24940
" ","53 Years","Male",24390
" "," ","Female",24830
" ","54 Years","Male",24210
" "," ","Female",24360
" ","55 Years","Male",24200
" "," ","Female",24520
" ","56 Years","Male",23960
" "," ","Female",24330
" ","57 Years","Male",20880
" "," ","Female",21230
" ","58 Years","Male",19400
" "," ","Female",19810
" ","59 Years","Male",18370
" "," ","Female",18530
" ","60 Years","Male",16970
" "," ","Female",17350
" ","61 Years","Male",18130
" "," ","Female",18620
" ","62 Years","Male",17990
" "," ","Female",18450
" ","63 Years","Male",16700
" "," ","Female",17120
" ","64 Years","Male",15110
" "," ","Female",15980
" ","65 Years","Male",14490
" "," ","Female",15110
" ","66 Years","Male",13740
" "," ","Female",14630
" ","67 Years","Male",13030
" "," ","Female",13930
" ","68 Years","Male",12710
" "," ","Female",13140
" ","69 Years","Male",12210
" "," ","Female",12930
" ","70 Years","Male",11820
" "," ","Female",12910
" ","71 Years","Male",11760
" "," ","Female",12680
" ","72 Years","Male",11820
" "," ","Female",12950
" ","73 Years","Male",11270
" "," ","Female",12580
" ","74 Years","Male",10670
" "," ","Female",12040
" ","75 Years","Male",10280
" "," ","Female",11730
" ","76 Years","Male",9600
" "," ","Female",11350
" ","77 Years","Male",8950
" "," ","Female",11060
" ","78 Years","Male",8270
" "," ","Female",10780
" ","79 Years","Male",7420
" "," ","Female",10110
" ","80 Years","Male",6590
" "," ","Female",9480
" ","81 Years","Male",6010
" "," ","Female",9230
" ","82 Years","Male",5410
" "," ","Female",8670
" ","83 Years","Male",4580
" "," ","Female",7910
" ","84 Years","Male",3520
" "," ","Female",6260
" ","85 Years","Male",2950
" "," ","Female",5790
" ","86 Years","Male",2740
" "," ","Female",5440
" ","87 Years","Male",2290
" "," ","Female",4810
" ","88 Years","Male",1910
" "," ","Female",4270
" ","89 Years","Male",1540
" "," ","Female",3580
" ","90 Years","Male",1180
" "," ","Female",3030
" ","91 Years","Male",880
" "," ","Female",2460
" ","92 Years","Male",660
" "," ","Female",1830
" ","93 Years","Male",440
" "," ","Female",1480
" ","94 Years","Male",310
" "," ","Female",1090
" ","0-4 Years","Male",144260
" "," ","Female",137750
" ","5-9 Years","Male",151420
" "," ","Female",143220
" ","10-14 Years","Male",160350
" "," ","Female",152570
" ","15-19 Years","Male",150160
" "," ","Female",145020
" ","20-24 Years","Male",140350
" "," ","Female",137940
" ","25-29 Years","Male",123460
" "," ","Female",129870
" ","30-34 Years","Male",142430
" "," ","Female",155930
" ","35-39 Years","Male",147580
" "," ","Female",158460
" ","40-44 Years","Male",153870
" "," ","Female",162800
" ","45-49 Years","Male",136970
" "," ","Female",141530
" ","50-54 Years","Male",123310
" "," ","Female",125170
" ","55-59 Years","Male",106810
" "," ","Female",108430
" ","60-64 Years","Male",84900
" "," ","Female",87520
" ","65-69 Years","Male",66180
" "," ","Female",69740
" ","70-74 Years","Male",57340
" "," ","Female",63160
" ","75-79 Years","Male",44530
" "," ","Female",55030
" ","80-84 Years","Male",26100
" "," ","Female",41550
" ","85-89 Years","Male",11420
" "," ","Female",23890
" ","Under 15 Years","Male",456000
" "," ","Female",433500
" ","Under 16 Years","Male",486800
" "," ","Female",463100
" ","Under 18 Years","Male",546500
" "," ","Female",520600
" ","Under 20 Years","Male",606200
" "," ","Female",578600
" ","15-39 Years","Male",704000
" "," ","Female",727200
" ","15-49 Years","Male",994800
" "," ","Female",1031500
" ","15-59 Years","Male",1225000
" "," ","Female",1265100
" ","40-64 Years","Male",605900
" "," ","Female",625400
" ","15-64 Years","Male",1309900
" "," ","Female",1352700
" ","15 Years and Over","Male",1519600
" "," ","Female",1618500
" ","16 Years and Over","Male",1488800
