"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","55-59 Years",153580,162440
" ","60-64 Years",131830,139450
" ","65-69 Years",115250,120260
" ","70-74 Years",92820,98590
" ","75-79 Years",64060,72270
" ","80-84 Years",39160,48290
" ","85-89 Years",22170,32100
" ","Under 15 Years",486200,460600
" ","Under 16 Years",517800,490200
" ","Under 18 Years",582800,552200
" ","Under 20 Years",649100,614800
" ","15-39 Years",849300,828000
" ","15-49 Years",1159100,1153100
" ","15-59 Years",1469100,1479300
" ","40-64 Years",751600,790700
" ","15-64 Years",1600900,1618800
" ","15 Years and Over",1944400,2010900
" ","16 Years and Over",1912800,1981300
" ","18 Years and Over",1847800,1919400
" ","20 Years and Over",1781400,1856700
" ","90-94 Years",8230,15660
" ","60 Years and Over",475300,531600
" ","65 Years and Over",343500,392200
" ","75 Years and Over",135400,173300
" ","80 Years and Over",71300,101000
" ","85 Years and Over",32200,52700
" ","90 Years and Over",10010,20650
" ","95 Years and Over",1780,4990
" ","Median Age (Years)",36.0,38.3
" ","Total All Ages",2430600,2471500
2019,"0 Years",30650,29000
" ","1 Years",30730,29180
" ","2 Years",31430,29860
" ","3 Years",31960,30160
" ","4 Years",32390,30490
" ","5 Years",32570,30630
" ","6 Years",33390,31920
" ","7 Years",33810,32180
" ","8 Years",34210,32430
" ","9 Years",34550,32730
" ","10 Years",34530,32120
" ","11 Years",34250,32510
" ","12 Years",33390,31600
" ","13 Years",31960,30410
" ","14 Years",31530,29980
" ","15 Years",31750,30190
" ","16 Years",32080,30100
" ","17 Years",32240,30770
" ","18 Years",33410,31780
" ","19 Years",33870,31920
" ","20 Years",33320,31340
" ","21 Years",34400,32030
" ","22 Years",34820,32400
" ","23 Years",35920,32980
" ","24 Years",36510,33790
" ","25 Years",36900,34500
" ","26 Years",38350,36080
" ","27 Years",39360,37380
" ","28 Years",39320,38420
" ","29 Years",38670,38150
" ","30 Years",37080,37220
" ","31 Years",36400,37120
" ","32 Years",35230,35370
" ","33 Years",33820,34580
" ","34 Years",33110,34170
" ","35 Years",32850,33650
" ","36 Years",32600,33240
" ","37 Years",31980,32520
" ","38 Years",31340,31820
" ","39 Years",30870,31490
" ","40 Years",30120,31020
" ","41 Years",29370,30400
" ","42 Years",29570,30400
" ","43 Years",29620,30350
" ","44 Years",30300,31620
" ","45 Years",31140,32720
" ","46 Years",32330,33720
" ","47 Years",33330,34800
" ","48 Years",33210,35050
" ","49 Years",32590,34050
" ","50 Years",32430,34000
" ","51 Years",31700,33200
" ","52 Years",30990,32470
" ","53 Years",30930,32140
" ","54 Years",31130,32660
" ","55 Years",31800,33440
" ","56 Years",32090,34170
" ","57 Years",31670,33590
" ","58 Years",30740,32810
" ","59 Years",29830,31430
" ","60 Years",29020,30630
" ","61 Years",27940,29720
" ","62 Years",27170,28720
" ","63 Years",26330,27890
" ","64 Years",25490,27160
" ","65 Years",24710,26130
" ","66 Years",23920,25340
" ","67 Years",23440,24450
" ","68 Years",22730,23700
" ","69 Years",22310,23400
" ","70 Years",21920,22680
" ","71 Years",21430,22710
" ","72 Years",20800,22060
" ","73 Years",17810,19000
" ","74 Years",16130,17480
" ","75 Years",14920,16020
" ","76 Years",13310,14620
" ","77 Years",13730,15450
" ","78 Years",13020,14830
" ","79 Years",11600,13430
" ","80 Years",10140,12110
" ","81 Years",9090,11010
" ","82 Years",8030,10010
" ","83 Years",7140,9010
" ","84 Years",6480,8250
" ","85 Years",5790,7660
" ","86 Years",4970,7050
" ","87 Years",4480,6330
" ","88 Years",4000,5910
" ","89 Years",3310,5270
" ","90 Years",2700,4470
" ","91 Years",2110,3680
" ","92 Years",1680,3090
" ","93 Years",1210,2550
" ","94 Years",920,2050
" ","0-4 Years",157170,148690
" ","5-9 Years",168530,159890
" ","10-14 Years",165670,156610
" ","15-19 Years",163350,154760
" ","20-24 Years",174970,162540
" ","25-29 Years",192600,184530
" ","30-34 Years",175630,178450
" ","35-39 Years",159640,162730
" ","40-44 Years",148980,153790
" ","45-49 Years",162610,170340
" ","50-54 Years",157180,164480
" ","55-59 Years",156130,165450
" ","60-64 Years",135950,144120
" ","65-69 Years",117110,123020
" ","70-74 Years",98100,103930
" ","75-79 Years",66580,74350
" ","80-84 Years",40880,50390
" ","85-89 Years",22550,32210
" ","Under 15 Years",491400,465200
" ","Under 16 Years",523100,495400
" ","Under 18 Years",587400,556300
" ","Under 20 Years",654700,619900
" ","15-39 Years",866200,843000
" ","15-49 Years",1177800,1167100
" ","15-59 Years",1491100,1497100
" ","40-64 Years",760800,798200
" ","15-64 Years",1627000,1641200
" ","15 Years and Over",1982800,2046200
" ","16 Years and Over",1951100,2016000
" ","18 Years and Over",1886700,1955100
" ","20 Years and Over",1819500,1891400
" ","90-94 Years",8610,15850
" ","60 Years and Over",491700,549100
" ","65 Years and Over",355800,405000
" ","75 Years and Over",140600,178100
" ","80 Years and Over",74000,103700
" ","85 Years and Over",33100,53300
" ","90 Years and Over",10570,21100
" ","95 Years and Over",1960,5260
" ","Median Age (Years)",36.2,38.3
" ","Total All Ages",2474200,2511400
2020,"0 Years",30400,29070
" ","1 Years",30910,29190
" ","2 Years",31190,29620
" ","3 Years",32030,30380
" ","4 Years",32480,30670
" ","5 Years",32910,31000
" ","6 Years",33020,31070
" ","7 Years",33780,32360
" ","8 Years",34220,32600
" ","9 Years",34620,32850
" ","10 Years",34970,33090
" ","11 Years",34880,32530
" ","12 Years",34630,32880
" ","13 Years",33780,31940
" ","14 Years",32340,30760
" ","15 Years",31960,30460
" ","16 Years",32210,30640
" ","17 Years",32350,30420
" ","18 Years",32470,30940
" ","19 Years",33920,32020
" ","20 Years",34480,32220
" ","21 Years",33900,31660
" ","22 Years",34890,32450
" ","23 Years",35510,33120
" ","24 Years",36820,33920
" ","25 Years",37420,34920
" ","26 Years",37870,35820
" ","27 Years",39290,37610
" ","28 Years",40360,38820
" ","29 Years",40370,39830
" ","30 Years",39770,39410
" ","31 Years",38170,38330
" ","32 Years",37430,38080
" ","33 Years",36150,36100
" ","34 Years",34650,35300
" ","35 Years",34020,34900
" ","36 Years",33630,34300
" ","37 Years",33430,33860
" ","38 Years",32720,33130
" ","39 Years",32080,32370
" ","40 Years",31560,32010
" ","41 Years",30730,31460
" ","42 Years",29940,30800
" ","43 Years",30090,30750
" ","44 Years",30110,30650
" ","45 Years",30680,31900
" ","46 Years",31530,32960
" ","47 Years",32640,33950
" ","48 Years",33600,34950
" ","49 Years",33440,35220
" ","50 Years",32800,34210
" ","51 Years",32610,34180
" ","52 Years",31790,33400
" ","53 Years",31120,32640
" ","54 Years",31030,32330
" ","55 Years",31240,32880
" ","56 Years",31890,33660
" ","57 Years",32190,34430
" ","58 Years",31760,33820
" ","59 Years",30780,33040
" ","60 Years",29880,31700
" ","61 Years",29110,30890
" ","62 Years",28070,29980
" ","63 Years",27250,28980
" ","64 Years",26450,28140
" ","65 Years",25610,27400
" ","66 Years",24760,26270
" ","67 Years",23900,25440
" ","68 Years",23390,24510
" ","69 Years",22680,23700
" ","70 Years",22180,23340
" ","71 Years",21730,22610
" ","72 Years",21230,22600
" ","73 Years",20530,21910
" ","74 Years",17540,18840
" ","75 Years",15820,17280
" ","76 Years",14590,15800
" ","77 Years",12940,14390
" ","78 Years",13310,15150
" ","79 Years",12550,14490
" ","80 Years",11120,13050
" ","81 Years",9660,11720
" ","82 Years",8600,10620
" ","83 Years",7540,9560
" ","84 Years",6650,8550
" ","85 Years",5950,7730
" ","86 Years",5260,7150
" ","87 Years",4430,6470
" ","88 Years",3930,5740
" ","89 Years",3470,5270
" ","90 Years",2850,4640
" ","91 Years",2250,3860
" ","92 Years",1710,3130
" ","93 Years",1350,2580
" ","94 Years",950,2080
" ","0-4 Years",157010,148930
" ","5-9 Years",168540,159880
" ","10-14 Years",170610,161210
" ","15-19 Years",162910,154480
" ","20-24 Years",175600,163370
" ","25-29 Years",195320,187000
" ","30-34 Years",186170,187220
" ","35-39 Years",165890,168560
" ","40-44 Years",152440,155670
" ","45-49 Years",161880,168990
" ","50-54 Years",159360,166760
" ","55-59 Years",157850,167830
" ","60-64 Years",140760,149700
" ","65-69 Years",120330,127320
" ","70-74 Years",103200,109300
" ","75-79 Years",69210,77110
" ","80-84 Years",43560,53500
" ","85-89 Years",23050,32360
" ","Under 15 Years",496200,470000
" ","Under 16 Years",528100,500500
" ","Under 18 Years",592700,561500
" ","Under 20 Years",659100,624500
" ","15-39 Years",885900,860600
" ","15-49 Years",1200200,1185300
" ","15-59 Years",1517400,1519900
" ","40-64 Years",772300,808900
" ","15-64 Years",1658200,1669600
" ","15 Years and Over",2028800,2091000
" ","16 Years and Over",1996800,2060500
" ","18 Years and Over",1932300,1999500
" ","20 Years and Over",1865900,1936500
" ","90-94 Years",9110,16280
" ","60 Years and Over",511400,571100
" ","65 Years and Over",370600,421400
" ","75 Years and Over",147100,184800
" ","80 Years and Over",77900,107700
" ","85 Years and Over",34300,54200
" ","90 Years and Over",11260,21810
" ","95 Years and Over",2150,5530
" ","Median Age (Years)",36.4,38.5
" ","Total All Ages",2524900,2561000
2021,"0 Years",31130,29570
" ","1 Years",30500,29180
" ","2 Years",31080,29380
" ","3 Years",31420,29810
" ","4 Years",32200,30580
" ","5 Years",32650,30810
" ","6 Years",33030,31120
" ","7 Years",33160,31200
" ","8 Years",33890,32510
" ","9 Years",34320,32710
" ","10 Years",34730,32970
" ","11 Years",35090,33190
" ","12 Years",35010,32640
" ","13 Years",34750,32990
" ","14 Years",33870,32010
" ","15 Years",32400,30860
" ","16 Years",32050,30520
" ","17 Years",32200,30610
" ","18 Years",32140,30230
" ","19 Years",32210,30740
" ","20 Years",33610,31790
" ","21 Years",34180,32020
" ","22 Years",33590,31410
" ","23 Years",34530,32170
" ","24 Years",35100,32860
" ","25 Years",36360,33650
" ","26 Years",36920,34700
" ","27 Years",37390,35690
" ","28 Years",38850,37480
" ","29 Years",39980,38770
" ","30 Years",40070,39850
" ","31 Years",39500,39440
" ","32 Years",38020,38410
" ","33 Years",37390,38170
" ","34 Years",36170,36200
" ","35 Years",34740,35390
" ","36 Years",34030,35000
" ","37 Years",33650,34360
" ","38 Years",33430,33980
" ","39 Years",32770,33240
" ","40 Years",32150,32460
" ","41 Years",31640,32080
" ","42 Years",30800,31510
" ","43 Years",29950,30900
" ","44 Years",30160,30790
" ","45 Years",30160,30660
" ","46 Years",30720,31920
" ","47 Years",31500,32980
" ","48 Years",32650,33950
" ","49 Years",33590,34950
" ","50 Years",33430,35190
" ","51 Years",32740,34160
" ","52 Years",32550,34100
" ","53 Years",31700,33290
" ","54 Years",31020,32530
" ","55 Years",30910,32190
" ","56 Years",31100,32720
" ","57 Years",31750,33480
" ","58 Years",32040,34220
" ","59 Years",31580,33620
" ","60 Years",30610,32820
" ","61 Years",29680,31440
" ","62 Years",28840,30650
" ","63 Years",27840,29720
" ","64 Years",27000,28760
" ","65 Years",26200,27900
" ","66 Years",25290,27120
" ","67 Years",24430,25930
" ","68 Years",23570,25130
" ","69 Years",23010,24200
" ","70 Years",22300,23400
" ","71 Years",21780,23010
" ","72 Years",21290,22260
" ","73 Years",20780,22240
" ","74 Years",20050,21540
" ","75 Years",17070,18500
" ","76 Years",15390,16920
" ","77 Years",14130,15450
" ","78 Years",12450,14020
" ","79 Years",12790,14750
" ","80 Years",11990,14050
" ","81 Years",10570,12600
" ","82 Years",9130,11220
" ","83 Years",8050,10120
" ","84 Years",6990,9050
" ","85 Years",6080,8040
" ","86 Years",5420,7210
" ","87 Years",4740,6590
" ","88 Years",3910,5880
" ","89 Years",3410,5150
" ","90 Years",2980,4630
" ","91 Years",2410,4020
" ","92 Years",1840,3290
" ","93 Years",1380,2600
" ","94 Years",1050,2110
" ","0-4 Years",156320,148510
" ","5-9 Years",167060,158350
" ","10-14 Years",173450,163790
" ","15-19 Years",160990,152950
" ","20-24 Years",171000,160250
" ","25-29 Years",189500,180290
" ","30-34 Years",191150,192080
" ","35-39 Years",168610,171960
" ","40-44 Years",154710,157750
" ","45-49 Years",158620,164450
" ","50-54 Years",161430,169280
" ","55-59 Years",157380,166240
" ","60-64 Years",143970,153380
" ","65-69 Years",122500,130290
" ","70-74 Years",106210,112460
" ","75-79 Years",71830,79640
" ","80-84 Years",46730,57050
" ","85-89 Years",23560,32870
" ","Under 15 Years",496800,470700
" ","Under 16 Years",529200,501500
" ","Under 18 Years",593500,562600
" ","Under 20 Years",657800,623600
" ","15-39 Years",881300,857500
" ","15-49 Years",1194600,1179700
" ","15-59 Years",1513400,1515200
" ","40-64 Years",776100,811100
" ","15-64 Years",1657400,1668600
" ","15 Years and Over",2040200,2103400
" ","16 Years and Over",2007800,2072600
" ","18 Years and Over",1943500,2011400
" ","20 Years and Over",1879200,1950500
" ","90-94 Years",9660,16660
" ","60 Years and Over",526800,588200
" ","65 Years and Over",382800,434800
" ","75 Years and Over",154100,192000
" ","80 Years and Over",82300,112400
" ","85 Years and Over",35500,55400
" ","90 Years and Over",11970,22500
" ","95 Years and Over",2310,5840
" ","Median Age (Years)",36.7,38.8
" ","Total All Ages",2537000,2574100
2022,"0 Years",30510,29680
" ","1 Years",31090,29550
" ","2 Years",30600,29310
" ","3 Years",31310,29570
" ","4 Years",31610,30000
" ","5 Years",32320,30730
" ","6 Years",32770,30940
" ","7 Years",33120,31240
" ","8 Years",33210,31330
" ","9 Years",33970,32590
" ","10 Years",34410,32800
" ","11 Years",34820,33040
" ","12 Years",35150,33270
" ","13 Years",35110,32690
" ","14 Years",34830,33050
" ","15 Years",34010,32130
" ","16 Years",32530,30960
" ","17 Years",32110,30570
" ","18 Years",32010,30440
" ","19 Years",31880,30020
" ","20 Years",32060,30620
" ","21 Years",33370,31620
" ","22 Years",33910,31750
" ","23 Years",33210,31070
" ","24 Years",34090,31810
" ","25 Years",34580,32470
" ","26 Years",35700,33290
" ","27 Years",36280,34430
" ","28 Years",36840,35400
" ","29 Years",38320,37310
" ","30 Years",39650,38710
" ","31 Years",39820,39820
" ","32 Years",39320,39470
" ","33 Years",37920,38450
" ","34 Years",37390,38230
" ","35 Years",36230,36300
" ","36 Years",34800,35430
" ","37 Years",34060,35050
" ","38 Years",33660,34360
" ","39 Years",33380,33970
" ","40 Years",32750,33260
" ","41 Years",32140,32470
" ","42 Years",31640,32050
" ","43 Years",30780,31470
" ","44 Years",29910,30860
" ","45 Years",30120,30750
" ","46 Years",30100,30610
" ","47 Years",30620,31860
" ","48 Years",31410,32860
" ","49 Years",32550,33840
" ","50 Years",33470,34840
" ","51 Years",33270,35080
" ","52 Years",32570,34010
" ","53 Years",32400,33920
" ","54 Years",31510,33080
" ","55 Years",30830,32360
" ","56 Years",30650,32010
" ","57 Years",30870,32510
" ","58 Years",31490,33240
" ","59 Years",31770,33980
" ","60 Years",31320,33370
" ","61 Years",30380,32520
" ","62 Years",29370,31160
" ","63 Years",28560,30330
" ","64 Years",27540,29440
" ","65 Years",26710,28460
" ","66 Years",25800,27560
" ","67 Years",24850,26740
" ","68 Years",24030,25560
" ","69 Years",23160,24780
" ","70 Years",22610,23840
" ","71 Years",21850,23020
" ","72 Years",21280,22610
" ","73 Years",20800,21850
" ","74 Years",20230,21850
" ","75 Years",19470,21070
" ","76 Years",16500,18050
" ","77 Years",14860,16470
" ","78 Years",13590,14990
" ","79 Years",11900,13600
" ","80 Years",12200,14260
" ","81 Years",11370,13510
" ","82 Years",9940,12020
" ","83 Years",8550,10640
" ","84 Years",7460,9540
" ","85 Years",6360,8450
" ","86 Years",5480,7460
" ","87 Years",4850,6580
" ","88 Years",4170,5980
" ","89 Years",3350,5250
" ","90 Years",2840,4530
" ","91 Years",2470,3920
" ","92 Years",1940,3350
" ","93 Years",1460,2720
" ","94 Years",1050,2070
" ","0-4 Years",155120,148100
" ","5-9 Years",165380,156820
" ","10-14 Years",174320,164840
" ","15-19 Years",162540,154120
" ","20-24 Years",166650,156870
" ","25-29 Years",181710,172900
" ","30-34 Years",194100,194690
" ","35-39 Years",172130,175110
" ","40-44 Years",157220,160100
" ","45-49 Years",154800,159910
" ","50-54 Years",163210,170940
" ","55-59 Years",155600,164100
" ","60-64 Years",147160,156820
" ","65-69 Years",124540,133100
" ","70-74 Years",106760,113160
" ","75-79 Years",76320,84180
" ","80-84 Years",49520,59970
" ","85-89 Years",24220,33720
" ","Under 15 Years",494800,469800
" ","Under 16 Years",528800,501900
" ","Under 18 Years",593500,563400
" ","Under 20 Years",657400,623900
" ","15-39 Years",877100,853700
" ","15-49 Years",1189100,1173700
" ","15-59 Years",1508000,1508700
" ","40-64 Years",778000,811900
" ","15-64 Years",1655100,1665600
" ","15 Years and Over",2048700,2112200
" ","16 Years and Over",2014700,2080000
" ","18 Years and Over",1950000,2018500
" ","20 Years and Over",1886200,1958000
" ","90-94 Years",9760,16590
" ","60 Years and Over",540700,603400
" ","65 Years and Over",393600,446600
" ","75 Years and Over",162300,200400
" ","80 Years and Over",85900,116200
" ","85 Years and Over",36400,56200
" ","90 Years and Over",12200,22490
" ","95 Years and Over",2440,5890
" ","Median Age (Years)",37.0,39.0
" ","Total All Ages",2543500,2581900
2023,"0 Years",29350,27810
" ","1 Years",30710,29840
" ","2 Years",31470,29910
" ","3 Years",31180,29850
" ","4 Years",31980,30240
" ","5 Years",32360,30710
" ","6 Years",33000,31420
" ","7 Years",33440,31570
" ","8 Years",33760,31870
" ","9 Years",33830,32000
" ","10 Years",34630,33180
" ","11 Years",35030,33430
" ","12 Years",35440,33630
" ","13 Years",35750,33840
" ","14 Years",35700,33290
" ","15 Years",35500,33690
" ","16 Years",34660,32820
" ","17 Years",33020,31480
" ","18 Years",32360,30740
" ","19 Years",32480,30770
" ","20 Years",32670,30620
" ","21 Years",32870,31060
" ","22 Years",34120,31950
" ","23 Years",34700,32270
" ","24 Years",34060,31840
" ","25 Years",35020,32840
" ","26 Years",35520,33770
" ","27 Years",36830,34890
" ","28 Years",37640,36160
" ","29 Years",38360,37320
" ","30 Years",40110,39330
" ","31 Years",41590,40660
" ","32 Years",41750,41400
" ","33 Years",41340,40970
" ","34 Years",40010,39850
" ","35 Years",39380,39460
" ","36 Years",38210,37510
" ","37 Years",36580,36470
" ","38 Years",35760,36000
" ","39 Years",35330,35250
" ","40 Years",34910,34810
" ","41 Years",34190,34040
" ","42 Years",33400,33180
" ","43 Years",32840,32660
" ","44 Years",31830,31990
" ","45 Years",30800,31310
" ","46 Years",30860,31120
" ","47 Years",30710,30910
" ","48 Years",31080,32060
" ","49 Years",31760,33000
" ","50 Years",32820,33930
" ","51 Years",33640,34920
" ","52 Years",33320,35150
" ","53 Years",32600,34080
" ","54 Years",32390,33950
" ","55 Years",31440,33070
" ","56 Years",30700,32340
" ","57 Years",30490,32020
" ","58 Years",30700,32510
" ","59 Years",31290,33220
" ","60 Years",31560,33970
" ","61 Years",31130,33290
" ","62 Years",30220,32460
" ","63 Years",29200,31070
" ","64 Years",28370,30260
" ","65 Years",27360,29370
" ","66 Years",26440,28370
" ","67 Years",25570,27370
" ","68 Years",24600,26480
" ","69 Years",23730,25360
" ","70 Years",22840,24540
" ","71 Years",22230,23570
" ","72 Years",21480,22740
" ","73 Years",20860,22310
" ","74 Years",20330,21530
" ","75 Years",19690,21430
" ","76 Years",18900,20630
" ","77 Years",15940,17660
" ","78 Years",14300,16030
" ","79 Years",13030,14540
" ","80 Years",11350,13140
" ","81 Years",11590,13690
" ","82 Years",10720,12910
" ","83 Years",9270,11420
" ","84 Years",7910,10050
" ","85 Years",6810,8940
" ","86 Years",5740,7810
" ","87 Years",4880,6810
" ","88 Years",4250,5970
" ","89 Years",3590,5300
" ","90 Years",2820,4570
" ","91 Years",2330,3880
" ","92 Years",1980,3250
" ","93 Years",1540,2750
" ","94 Years",1100,2170
" ","0-4 Years",154690,147660
" ","5-9 Years",166390,157560
" ","10-14 Years",176560,167380
" ","15-19 Years",168030,159500
" ","20-24 Years",168420,157750
" ","25-29 Years",183370,174980
" ","30-34 Years",204800,202210
" ","35-39 Years",185260,184690
" ","40-44 Years",167160,166670
" ","45-49 Years",155190,158420
" ","50-54 Years",164770,172030
" ","55-59 Years",154630,163150
" ","60-64 Years",150490,161050
" ","65-69 Years",127690,136950
" ","70-74 Years",107730,114690
" ","75-79 Years",81870,90290
" ","80-84 Years",50840,61210
" ","85-89 Years",25270,34820
" ","Under 15 Years",497600,472600
" ","Under 16 Years",533100,506300
" ","Under 18 Years",600800,570600
" ","Under 20 Years",665700,632100
" ","15-39 Years",909900,879100
" ","15-49 Years",1232200,1204200
" ","15-59 Years",1551600,1539400
" ","40-64 Years",792200,821300
" ","15-64 Years",1702100,1700500
" ","15 Years and Over",2107800,2160900
" ","16 Years and Over",2072300,2127200
" ","18 Years and Over",2004600,2062900
" ","20 Years and Over",1939800,2001400
" ","90-94 Years",9770,16630
" ","60 Years and Over",556200,621500
" ","65 Years and Over",405700,460500
" ","75 Years and Over",170300,208800
" ","80 Years and Over",88400,118500
" ","85 Years and Over",37600,57300
" ","90 Years and Over",12300,22500
" ","95 Years and Over",2530,5880
" ","Median Age (Years)",37.1,39.0
" ","Total All Ages",2605400,2633500
"Table information:"
"Units:"
"0 Years: Number, Magnitude = Units"
"1 Years: Number, Magnitude = Units"
"2 Years: Number, Magnitude = Units"
"3 Years: Number, Magnitude = Units"
"4 Years: Number, Magnitude = Units"
"5 Years: Number, Magnitude = Units"
"6 Years: Number, Magnitude = Units"
"7 Years: Number, Magnitude = Units"
"8 Years: Number, Magnitude = Units"
"9 Years: Number, Magnitude = Units"
"10 Years: Number, Magnitude = Units"
"11 Years: Number, Magnitude = Units"
"12 Years: Number, Magnitude = Units"
"13 Years: Number, Magnitude = Units"
"14 Years: Number, Magnitude = Units"
"15 Years: Number, Magnitude = Units"
"16 Years: Number, Magnitude = Units"
"17 Years: Number, Magnitude = Units"
"18 Years: Number, Magnitude = Units"
"19 Years: Number, Magnitude = Units"
"20 Years: Number, Magnitude = Units"
"21 Years: Number, Magnitude = Units"
"22 Years: Number, Magnitude = Units"
"23 Years: Number, Magnitude = Units"
"24 Years: Number, Magnitude = Units"
"25 Years: Number, Magnitude = Units"
"26 Years: Number, Magnitude = Units"
"27 Years: Number, Magnitude = Units"
"28 Years: Number, Magnitude = Units"
"29 Years: Number, Magnitude = Units"
"30 Years: Number, Magnitude = Units"
"31 Years: Number, Magnitude = Units"
"32 Years: Number, Magnitude = Units"
"33 Years: Number, Magnitude = Units"
"34 Years: Number, Magnitude = Units"
"35 Years: Number, Magnitude = Units"
"36 Years: Number, Magnitude = Units"
"37 Years: Number, Magnitude = Units"
"38 Years: Number, Magnitude = Units"
"39 Years: Number, Magnitude = Units"
"40 Years: Number, Magnitude = Units"
"41 Years: Number, Magnitude = Units"
"42 Years: Number, Magnitude = Units"
"43 Years: Number, Magnitude = Units"
"44 Years: Number, Magnitude = Units"
"45 Years: Number, Magnitude = Units"
"46 Years: Number, Magnitude = Units"
"47 Years: Number, Magnitude = Units"
"48 Years: Number, Magnitude = Units"
"49 Years: Number, Magnitude = Units"
"50 Years: Number, Magnitude = Units"
"51 Years: Number, Magnitude = Units"
"52 Years: Number, Magnitude = Units"
"53 Years: Number, Magnitude = Units"
"54 Years: Number, Magnitude = Units"
"55 Years: Number, Magnitude = Units"
"56 Years: Number, Magnitude = Units"
"57 Years: Number, Magnitude = Units"
"58 Years: Number, Magnitude = Units"
"59 Years: Number, Magnitude = Units"
"60 Years: Number, Magnitude = Units"
"61 Years: Number, Magnitude = Units"
"62 Years: Number, Magnitude = Units"
"63 Years: Number, Magnitude = Units"
"64 Years: Number, Magnitude = Units"
"65 Years: Number, Magnitude = Units"
"66 Years: Number, Magnitude = Units"
"67 Years: Number, Magnitude = Units"
"68 Years: Number, Magnitude = Units"
"69 Years: Number, Magnitude = Units"
"70 Years: Number, Magnitude = Units"
"71 Years: Number, Magnitude = Units"
"72 Years: Number, Magnitude = Units"
"73 Years: Number, Magnitude = Units"
"74 Years: Number, Magnitude = Units"
"75 Years: Number, Magnitude = Units"
"76 Years: Number, Magnitude = Units"
"77 Years: Number, Magnitude = Units"
"78 Years: Number, Magnitude = Units"
"79 Years: Number, Magnitude = Units"
"80 Years: Number, Magnitude = Units"
"81 Years: Number, Magnitude = Units"
"82 Years: Number, Magnitude = Units"
"83 Years: Number, Magnitude = Units"
"84 Years: Number, Magnitude = Units"
"85 Years: Number, Magnitude = Units"
"86 Years: Number, Magnitude = Units"
"87 Years: Number, Magnitude = Units"
"88 Years: Number, Magnitude = Units"
"89 Years: Number, Magnitude = Units"
"90 Years: Number, Magnitude = Units"
"91 Years: Number, Magnitude = Units"
"92 Years: Number, Magnitude = Units"
"93 Years: Number, Magnitude = Units"
"94 Years: Number, Magnitude = Units"
"0-4 Years: Number, Magnitude = Units"
"5-9 Years: Number, Magnitude = Units"
"10-14 Years: Number, Magnitude = Units"
"15-19 Years: Number, Magnitude = Units"
"20-24 Years: Number, Magnitude = Units"
"25-29 Years: Number, Magnitude = Units"
"30-34 Years: Number, Magnitude = Units"
"35-39 Years: Number, Magnitude = Units"
"40-44 Years: Number, Magnitude = Units"
"45-49 Years: Number, Magnitude = Units"
"50-54 Years: Number, Magnitude = Units"
"55-59 Years: Number, Magnitude = Units"
"60-64 Years: Number, Magnitude = Units"
"65-69 Years: Number, Magnitude = Units"
"70-74 Years: Number, Magnitude = Units"
"75-79 Years: Number, Magnitude = Units"
"80-84 Years: Number, Magnitude = Units"
"85-89 Years: Number, Magnitude = Units"
"Under 15 Years: Number, Magnitude = Units"
"Under 16 Years: Number, Magnitude = Units"
"Under 18 Years: Number, Magnitude = Units"
"Under 20 Years: Number, Magnitude = Units"
"15-39 Years: Number, Magnitude = Units"
"15-49 Years: Number, Magnitude = Units"
"15-59 Years: Number, Magnitude = Units"
"40-64 Years: Number, Magnitude = Units"
"15-64 Years: Number, Magnitude = Units"
"15 Years and Over: Number, Magnitude = Units"
"16 Years and Over: Number, Magnitude = Units"
"18 Years and Over: Number, Magnitude = Units"
"20 Years and Over: Number, Magnitude = Units"
"90-94 Years: Number, Magnitude = Units"
"60 Years and Over: Number, Magnitude = Units"
"65 Years and Over: Number, Magnitude = Units"
"75 Years and Over: Number, Magnitude = Units"
"80 Years and Over: Number, Magnitude = Units"
"85 Years and Over: Number, Magnitude = Units"
"90 Years and Over: Number, Magnitude = Units"
"95 Years and Over: Number, Magnitude = Units"
"Median Age (Years): Year, Magnitude = Units"
"Total All Ages: Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
"The current population estimates are based on 2018 Census data. The 2023-based estimated resident population will be published following the release of 2023 Census and 2023 Post-enumeration Survey results."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE058AA"
""
"Last updated:"
"0 Years: 16 February 2024 10:45am"
"1 Years: 16 February 2024 10:45am"
"2 Years: 16 February 2024 10:45am"
"3 Years: 16 February 2024 10:45am"
"4 Years: 16 February 2024 10:45am"
"5 Years: 16 February 2024 10:45am"
"6 Years: 16 February 2024 10:45am"
"7 Years: 16 February 2024 10:45am"
"8 Years: 16 February 2024 10:45am"
"9 Years: 16 February 2024 10:45am"
"10 Years: 16 February 2024 10:45am"
"11 Years: 16 February 2024 10:45am"
"12 Years: 16 February 2024 10:45am"
"13 Years: 16 February 2024 10:45am"
"14 Years: 16 February 2024 10:45am"
"15 Years: 16 February 2024 10:45am"
"16 Years: 16 February 2024 10:45am"
"17 Years: 16 February 2024 10:45am"
